TymeBreathRate,tidal_volume,TymeVentilation
32.99,258.0,78.7
33.27,253.5,78.26
33.56,253.6,78.9
33.81,254.7,79.67
33.87,255.3,79.4
33.94,256.0,79.14
34.11,256.8,78.91
34.24,257.7,78.78
34.22,258.8,79.01
34.12,259.5,78.68
33.99,260.2,78.15
33.76,260.6,77.7
33.31,260.6,77.4
32.93,262.5,78.16
32.55,264.5,79.06
32.15,265.1,79.54
31.75,265.7,80.02
31.45,266.0,80.12
31.18,266.3,80.15
30.91,266.1,80.2
30.63,264.4,80.4
30.37,263.1,80.6
30.19,263.7,80.8
30.0,264.3,81.01
29.84,264.7,80.89
29.68,265.1,80.65
29.52,265.5,80.41
29.35,266.3,80.23
29.16,267.3,80.08
28.97,268.4,79.96
28.66,271.1,80.35
28.35,273.8,80.74
27.96,273.5,80.21
27.55,272.8,79.64
27.13,271.8,79.37
27.01,271.8,79.55
26.94,272.0,79.8
26.93,272.3,79.92
26.98,272.8,79.89
27.05,273.4,79.92
27.21,275.0,80.26
27.36,276.6,80.6
27.5,277.4,80.83
27.62,278.2,81.06
27.75,279.0,81.28
27.95,278.6,80.89
28.28,276.1,79.26
28.42,274.4,78.69
28.55,272.7,78.14
28.66,271.8,78.44
28.74,271.2,78.74
28.77,271.9,79.04
28.81,272.4,79.51
28.9,272.6,80.59
28.98,272.1,80.93
29.06,271.4,81.15
29.18,270.9,81.55
29.31,270.3,82.0
29.45,269.7,82.19
29.6,268.8,81.87
29.75,267.8,81.55
29.88,266.4,81.2
30.01,265.0,80.86
30.18,264.7,80.75
30.38,265.4,80.83
30.64,264.6,80.46
30.83,263.9,80.44
30.96,263.3,80.79
