TymeBreathRate,tidal_volume,TymeVentilation
28.57,268.6,80.28
28.26,268.2,80.54
27.95,267.6,80.64
27.65,266.6,80.28
27.39,265.7,79.95
27.26,265.4,79.7
27.13,265.2,79.44
27.05,265.4,79.3
26.99,265.9,79.21
27.0,269.0,79.7
27.01,272.3,80.24
27.06,273.0,79.96
27.15,271.1,78.89
27.25,269.2,77.85
27.41,267.3,76.94
27.58,265.4,76.03
27.82,265.2,75.61
28.07,265.2,75.24
28.45,265.0,75.42
28.82,264.7,75.59
29.17,264.2,75.38
29.51,263.6,75.19
29.7,262.6,75.14
29.89,261.7,75.08
30.08,260.9,75.13
30.28,261.2,75.64
30.47,261.5,76.11
30.6,261.9,76.36
30.75,261.8,76.41
30.87,261.5,76.65
30.92,261.0,77.25
30.88,260.6,77.37
30.79,260.4,77.15
30.81,262.0,77.25
30.84,263.7,77.39
30.82,264.2,77.88
30.8,264.3,78.06
30.79,263.7,77.64
30.78,263.2,77.23
30.83,262.9,77.23
30.96,262.9,77.72
31.09,263.1,78.13
31.23,264.0,78.34
31.21,263.4,77.98
31.17,262.5,77.53
31.14,261.6,77.08
31.12,261.3,76.97
31.12,261.4,77.1
31.01,261.8,77.23
30.75,262.4,77.37
30.51,262.8,77.38
30.29,263.2,77.36
30.06,263.6,77.33
29.75,259.8,76.99
29.46,257.1,77.15
29.17,255.5,77.74
29.05,256.3,77.76
28.94,257.4,77.72
28.82,258.3,77.73
28.68,259.0,77.79
28.56,260.6,77.97
28.48,264.3,78.41
28.5,264.3,78.19
28.54,263.8,77.86
28.57,263.6,77.65
28.6,264.0,77.72
28.63,264.5,77.78
28.64,265.0,77.66
28.63,265.6,77.47
28.66,265.8,77.57
28.7,265.6,77.84
28.75,265.4,78.08
28.78,265.5,78.15
28.8,266.2,78.36
28.83,267.2,78.63
28.85,268.3,78.9
28.94,268.1,79.01
29.02,268.0,79.11
29.11,267.8,79.22
29.17,268.6,79.6
29.2,270.2,80.19
29.26,271.9,80.42
29.33,273.6,80.46
29.43,273.9,80.54
29.54,273.8,80.64
29.62,274.3,80.59
29.64,276.0,80.31
29.73,276.2,79.99
29.82,275.5,79.67
29.9,273.8,79.36
29.99,273.0,79.37
30.13,273.5,79.89
30.24,273.9,79.69
30.34,274.3,79.29
30.45,274.6,78.89
30.66,273.4,78.42
30.8,272.4,78.21
30.79,271.8,78.55
30.8,271.3,78.78
30.85,270.7,78.51
30.91,270.2,78.24
30.84,268.7,78.14
30.75,267.1,78.04
30.61,265.2,77.36
30.46,263.3,76.67
30.28,262.5,76.98
30.05,262.9,78.46
29.83,264.8,79.63
29.62,266.6,80.45
29.41,267.9,80.7
29.26,268.2,80.78
29.17,267.4,80.66
29.08,266.6,80.54
29.01,264.9,80.41
28.96,262.7,80.28
28.93,262.7,80.64
28.92,264.0,81.31
28.91,265.4,81.97
28.9,266.6,81.77
28.89,267.8,81.43
28.95,267.2,80.98
29.03,266.2,80.51
29.25,264.5,79.84
29.48,262.7,79.18
29.58,262.1,79.52
29.68,261.4,79.86
29.78,261.3,80.18
29.88,262.4,80.46
30.0,263.3,80.68
30.25,263.4,80.49
30.47,263.6,80.5
30.66,264.0,80.93
30.86,264.5,81.29
31.18,265.0,81.19
31.54,262.8,80.7
31.92,257.9,79.87
32.28,259.4,80.89
32.48,261.6,81.78
32.61,264.1,82.61
32.74,265.3,82.93
32.89,263.5,82.2
33.02,260.7,81.34
33.07,255.5,80.19
33.11,252.1,79.84
33.17,250.1,80.34
33.3,250.6,82.32
33.35,251.0,82.67
33.39,251.5,82.62
33.39,251.9,82.57
33.34,252.2,82.51
33.25,252.0,82.24
33.11,250.7,81.63
33.05,249.4,81.39
33.04,248.2,81.45
32.99,249.5,81.8
32.93,250.9,82.16
32.88,250.8,82.07
32.82,250.6,81.93
32.79,250.6,81.79
32.79,250.8,81.66
32.86,251.9,81.62
32.94,253.4,81.61
32.98,256.1,82.15
32.98,259.9,83.08
33.0,258.3,81.21
33.03,256.4,80.24
33.07,254.3,79.78
33.01,253.0,79.63
32.89,252.2,79.63
32.78,251.8,79.64
